INDEX,EXPRESSION,DATETIME,CLOSE
179,D6U21-D6Z21,2021-06-02T06:38:00,-0.0011
180,D6U21-D6Z21,2021-06-02T06:39:00,-0.001
181,D6U21-D6Z21,2021-06-02T06:41:00,-0.00095
182,D6U21-D6Z21,2021-06-02T06:42:00,-0.00085
183,D6U21-D6Z21,2021-06-02T06:43:00,-0.00085
184,D6U21-D6Z21,2021-06-02T06:44:00,-0.0008
185,D6U21-D6Z21,2021-06-02T06:45:00,-0.00075
186,D6U21-D6Z21,2021-06-02T06:46:00,-0.00055
187,D6U21-D6Z21,2021-06-02T06:49:00,-0.0005
188,D6U21-D6Z21,2021-06-02T06:50:00,-0.00045
189,D6U21-D6Z21,2021-06-02T06:55:00,-0.00045
190,D6U21-D6Z21,2021-06-02T07:04:00,0
191,D6U21-D6Z21,2021-06-02T07:05:00,-0.00005
192,D6U21-D6Z21,2021-06-02T07:06:00,-0.0002
193,D6U21-D6Z21,2021-06-02T07:08:00,0.0001
194,D6U21-D6Z21,2021-06-02T07:11:00,0.0001
195,D6U21-D6Z21,2021-06-02T07:29:00,0.00045
196,D6U21-D6Z21,2021-06-02T07:37:00,0.00005
197,D6U21-D6Z21,2021-06-02T07:38:00,-0.00005
198,D6U21-D6Z21,2021-06-02T07:51:00,-0.00015
199,D6U21-D6Z21,2021-06-02T07:53:00,-0.00015
200,D6U21-D6Z21,2021-06-02T08:00:00,0.0002
201,D6U21-D6Z21,2021-06-02T08:03:00,0.0004
202,D6U21-D6Z21,2021-06-02T08:08:00,0.00025
203,D6U21-D6Z21,2021-06-02T08:14:00,0.0003
204,D6U21-D6Z21,2021-06-02T08:19:00,0.00045
205,D6U21-D6Z21,2021-06-02T08:20:00,0.00045
206,D6U21-D6Z21,2021-06-02T08:22:00,0.0005
207,D6U21-D6Z21,2021-06-02T08:28:00,0.00045
208,D6U21-D6Z21,2021-06-02T08:29:00,0.0004
209,D6U21-D6Z21,2021-06-02T08:30:00,0.0003
210,D6U21-D6Z21,2021-06-02T08:31:00,0.00025
211,D6U21-D6Z21,2021-06-02T08:34:00,0
212,D6U21-D6Z21,2021-06-02T08:37:00,0.00025
213,D6U21-D6Z21,2021-06-02T08:38:00,0.00035
214,D6U21-D6Z21,2021-06-02T08:40:00,0.0004
215,D6U21-D6Z21,2021-06-02T08:44:00,0.00035
216,D6U21-D6Z21,2021-06-02T08:49:00,0.0004
217,D6U21-D6Z21,2021-06-02T08:54:00,0.0003
218,D6U21-D6Z21,2021-06-02T08:55:00,-0.0003
219,D6U21-D6Z21,2021-06-02T08:56:00,-0.0003
220,D6U21-D6Z21,2021-06-02T08:58:00,-0.0002
221,D6U21-D6Z21,2021-06-02T09:00:00,-0.0001
222,D6U21-D6Z21,2021-06-02T09:01:00,-0.0002
223,D6U21-D6Z21,2021-06-02T09:03:00,-0.0002
224,D6U21-D6Z21,2021-06-02T09:07:00,-0.0001
225,D6U21-D6Z21,2021-06-02T09:10:00,-0.0003
226,D6U21-D6Z21,2021-06-02T09:13:00,-0.0003
227,D6U21-D6Z21,2021-06-02T09:16:00,-0.0002
228,D6U21-D6Z21,2021-06-02T09:20:00,-0.0001
229,D6U21-D6Z21,2021-06-02T09:21:00,-0.0007
230,D6U21-D6Z21,2021-06-02T09:26:00,-0.00055
231,D6U21-D6Z21,2021-06-02T09:27:00,-0.0005
232,D6U21-D6Z21,2021-06-02T09:28:00,-0.0005
233,D6U21-D6Z21,2021-06-02T09:29:00,-0.0005
234,D6U21-D6Z21,2021-06-02T09:38:00,-0.0007
235,D6U21-D6Z21,2021-06-02T09:50:00,-0.001
236,D6U21-D6Z21,2021-06-02T09:57:00,-0.00085
237,D6U21-D6Z21,2021-06-02T09:58:00,-0.00085
238,D6U21-D6Z21,2021-06-02T10:00:00,-0.0006
239,D6U21-D6Z21,2021-06-02T10:07:00,-0.00085
240,D6U21-D6Z21,2021-06-02T10:14:00,-0.0003
241,D6U21-D6Z21,2021-06-02T10:15:00,-0.0002
242,D6U21-D6Z21,2021-06-02T10:16:00,-0.0001
243,D6U21-D6Z21,2021-06-02T10:18:00,0.0001
244,D6U21-D6Z21,2021-06-02T10:19:00,0.0004
245,D6U21-D6Z21,2021-06-02T10:21:00,0.00035
246,D6U21-D6Z21,2021-06-02T10:22:00,0.00015
247,D6U21-D6Z21,2021-06-02T10:24:00,0.0003
248,D6U21-D6Z21,2021-06-02T10:26:00,-0.00025
249,D6U21-D6Z21,2021-06-02T10:30:00,-0.00025
250,D6U21-D6Z21,2021-06-02T10:34:00,-0.0003
251,D6U21-D6Z21,2021-06-02T10:37:00,-0.0002
252,D6U21-D6Z21,2021-06-02T10:42:00,0.0001
253,D6U21-D6Z21,2021-06-02T11:09:00,-0.0002
254,D6U21-D6Z21,2021-06-02T11:10:00,-0.0002
255,D6U21-D6Z21,2021-06-02T11:12:00,-0.00025
256,D6U21-D6Z21,2021-06-02T11:15:00,-0.0001
257,D6U21-D6Z21,2021-06-02T11:26:00,0
258,D6U21-D6Z21,2021-06-02T11:28:00,-0.0002
259,D6U21-D6Z21,2021-06-02T11:38:00,-0.0001
260,D6U21-D6Z21,2021-06-02T11:39:00,-0.00005
261,D6U21-D6Z21,2021-06-02T11:40:00,-0.00005
262,D6U21-D6Z21,2021-06-02T11:41:00,0
263,D6U21-D6Z21,2021-06-02T11:47:00,-0.0001
264,D6U21-D6Z21,2021-06-02T11:53:00,0.00005
265,D6U21-D6Z21,2021-06-02T11:54:00,0.0003
266,D6U21-D6Z21,2021-06-02T11:55:00,0.00095
267,D6U21-D6Z21,2021-06-02T12:07:00,0.0008
268,D6U21-D6Z21,2021-06-02T12:10:00,0.00075
269,D6U21-D6Z21,2021-06-02T12:13:00,0.00085
270,D6U21-D6Z21,2021-06-02T12:15:00,0.0007
271,D6U21-D6Z21,2021-06-02T12:16:00,0.00075
272,D6U21-D6Z21,2021-06-02T12:17:00,0.00075
273,D6U21-D6Z21,2021-06-02T12:19:00,0.0009
274,D6U21-D6Z21,2021-06-02T12:20:00,0.00085
